PMID 	 FT_ID 	 PUBYEAR 	 PUB_DATE 	 RESEARCH_ARTICLE_YES_NO 	 AVAILABILITY_STATUS 	 FIRST_PUBLISH_DATE
null 	 PMC10995762 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:14:01
null 	 PMC10995779 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-04 00:00:00
null 	 PMC10995798 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-11 00:00:00
null 	 PMC10995780 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-28 00:00:00
null 	 PMC10995806 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC5324961 	 1962 	 01/01/1962 	 Y 	 O 	 1962-01-01 00:00:00
null 	 PMC10988246 	 2023 	 01/10/2023 	 Y 	 O 	 2023-10-28 00:00:00
null 	 PMC10995583 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-27 00:00:00
null 	 PMC10995599 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-16 00:00:00
null 	 PMC10995584 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-19 00:00:00
null 	 PMC10995608 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995662 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:13:19
null 	 PMC10995680 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995686 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995692 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-05 00:00:00
null 	 PMC10995403 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995440 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10995435 	 2023 	 01/11/2023 	 Y 	 O 	 2023-11-22 00:00:00
null 	 PMC10995434 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-23 00:00:00
null 	 PMC10995533 	 2023 	 01/01/2023 	 Y 	 O 	 2023-01-01 00:00:00
null 	 PMC10995534 	 2020 	 01/01/2020 	 Y 	 O 	 2020-01-01 00:00:00
null 	 PMC10995538 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-28 00:00:00
null 	 PMC10995844 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10995841 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-29 00:00:00
null 	 PMC10995861 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-28 00:00:00
null 	 PMC10993247 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993254 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993252 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993255 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993280 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-18 00:00:00
null 	 PMC10993262 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993276 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993275 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993293 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-04 00:00:00
null 	 PMC10993319 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993355 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-21 00:00:00
null 	 PMC10993595 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993406 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC10993558 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993556 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993594 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993596 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993597 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993608 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993606 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993648 	 2023 	 01/08/2023 	 Y 	 O 	 2023-08-25 00:00:00
null 	 PMC10993645 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-12 00:00:00
null 	 PMC10993420 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993649 	 2023 	 01/08/2023 	 Y 	 O 	 2023-08-25 00:00:00
null 	 PMC10993890 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10993891 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10993895 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10993897 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10993898 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10993892 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10993930 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-13 00:00:00
null 	 PMC10993934 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-13 00:00:00
null 	 PMC10993939 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-13 00:00:00
null 	 PMC10993931 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-13 00:00:00
null 	 PMC10997837 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-30 00:00:00
null 	 PMC10997820 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-03 00:00:00
null 	 PMC10997821 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-31 00:00:00
null 	 PMC10997804 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-04 00:00:00
null 	 PMC10997835 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-14 00:00:00
null 	 PMC10996853 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10996855 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10996883 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:21:53
null 	 PMC10996905 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-15 00:00:00
null 	 PMC10996900 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-05 00:00:00
null 	 PMC10996931 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10996933 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10997032 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10997036 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10997052 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10997050 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-21 00:00:00
null 	 PMC10997142 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10997149 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10997164 	 2023 	 01/01/2023 	 Y 	 O 	 2023-01-01 00:00:00
null 	 PMC10997146 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10997163 	 2023 	 01/01/2023 	 Y 	 O 	 2023-01-01 00:00:00
null 	 PMC10995645 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-25 00:00:00
null 	 PMC10995691 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-05 00:00:00
null 	 PMC10995644 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10995722 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10995744 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:13:46
null 	 PMC10995723 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995760 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:14:01
null 	 PMC10995764 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:14:03
null 	 PMC10995775 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-27 00:00:00
null 	 PMC10995777 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10995814 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10995815 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10995820 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10995773 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-25 00:00:00
null 	 PMC10995772 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-27 00:00:00
null 	 PMC10995771 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-27 00:00:00
null 	 PMC10995774 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-29 00:00:00
null 	 PMC10995778 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-21 00:00:00
null 	 PMC10995776 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10995794 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995770 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-05 00:00:00
null 	 PMC10995796 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-29 00:00:00
null 	 PMC10995813 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10993321 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC10993274 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993350 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC10993357 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-21 00:00:00
null 	 PMC10993360 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-12 00:00:00
null 	 PMC10993375 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993372 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993397 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993399 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC10993322 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC10993408 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993557 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993593 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993591 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993599 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993607 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993747 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-03 00:00:00
null 	 PMC10993753 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-03 00:00:00
null 	 PMC10995353 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995358 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995585 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-20 00:00:00
null 	 PMC10995601 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10995623 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-30 00:00:00
null 	 PMC10995649 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:13:12
null 	 PMC10995653 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:13:12
null 	 PMC10995479 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10994975 	 2023 	 01/10/2023 	 Y 	 O 	 2023-10-09 00:00:00
null 	 PMC10994979 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10994981 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10995217 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10994966 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10994970 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10995220 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10994978 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-01 00:00:00
null 	 PMC10995216 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995225 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995240 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995229 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995290 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995293 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995291 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995308 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995312 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995298 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995297 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995315 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995347 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995591 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-29 00:00:00
null 	 PMC10995605 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-27 00:00:00
null 	 PMC10995600 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-18 00:00:00
null 	 PMC10995604 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-07 00:00:00
null 	 PMC10995607 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995595 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-28 00:00:00
null 	 PMC10995354 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995378 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995393 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995328 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995387 	 2023 	 01/01/2023 	 Y 	 O 	 2023-01-01 00:00:00
null 	 PMC10995395 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995436 	 2023 	 01/12/2023 	 Y 	 O 	 2023-12-29 00:00:00
null 	 PMC10995532 	 2023 	 01/01/2023 	 Y 	 O 	 2023-01-01 00:00:00
null 	 PMC10995540 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-28 00:00:00
null 	 PMC10995535 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-28 00:00:00
null 	 PMC10995521 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995539 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-28 00:00:00
null 	 PMC10995597 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-28 00:00:00
null 	 PMC10995230 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995253 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10995255 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995252 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995247 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995301 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995292 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995324 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995349 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10994888 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-18 00:00:00
null 	 PMC10994862 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-07 00:00:00
null 	 PMC10995061 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995115 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:07:25
null 	 PMC10995237 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995228 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995313 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995325 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995305 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995327 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995330 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995559 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-05 00:00:00
null 	 PMC10995596 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10995652 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:13:12
null 	 PMC10995620 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995682 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995681 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995685 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995688 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10995679 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10991048 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10992729 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-24 00:00:00
